############################################																																																																																																														
# Data of the Swiss Biodiversity Program belong to the Swiss Federal government and Florian Altermatt (florian.altermatt@eawag.ch) and may not be distributed or used without prior agreement. Florian Altermatt needs to be involved in all analyses done with these data and will be an author on the subsequent publications.																																																																																																														
############################################																																																																																																														
#Export 20160105 from EPT_IBCH_Localities20150826.txt and EPT_IBCH_Data20150826.txt																																																																																																														
#ID	#Response variables							#Explanatory variables BDM																												#Explanatory variables Seymour et al.																																			#Explanatory variables Katharina																																							
locality	alpha_EPT	alpha_IBCH	alpha_Eph	alpha_Ple	alpha_Tri	alpha_fam	alpha_genus	year	masl	drainage	Strahler_order	distance_to_outlet	catchment	width	depth	var_depth	var_waterlevel	river_bed_modified	natural_cascades	embankment_modifications	width_riparian_left	width_riparian_right	cascades	cascade_height	mud	turbidity	foam	FeS	clogging	waste	periphyton	algae	moss	macrophytes	MSK_class	Agriculture_prop_500m	Woods_prop_500m	Meadows_prop_500m	Settlement_prop_500m	Water_prop_500m	Agriculture_prop_1km	Woods_prop_1km	Meadows_prop_1km	Settlement_prop_1km	Water_prop_1km	Calcite_prop_1km	Agriculture_prop_5km	Woods_prop_5km	Meadows_prop_5km	Settlement_prop_5km	Water_prop_5km	Calcite_prop_5km	Agriculture_prop_10km	Woods_prop_10km	Meadows_prop_10km	Settlement_prop_10km	Water_prop_10km	Calcite_prop_10km	Agriculture_prop_100km	Woods_prop_100km	Meadows_prop_100km	Settlement_prop_100km	Water_prop_100km	Calcite_prop_100km	Agriculture_prop_1000km	Woods_prop_1000km	Meadows_prop_1000km	Settlement_prop_1000km	Water_prop_1000km	Calcite_prop_1000km	area_bdm_m2	watercourse_bdm_m	field_percentage	legume_percentage	potato_percentage	cereal_percentage	corn_percentage	fruit_percentage	rapeseed_percentage	rootvegetable_percentage	vegetable_percentage	vine_percentage	forest_percentage	green_percentage	facade_percentage	roof_percentage	facaderoof_percentage	settlement_percentage	disposalsite_190207_percentage	track_percentage	street_percentage	Q_amean_m3.s	Qvar_amean_m3.s	slope_mean	slope_max	Q_amax_m3.s	dam_count	hydropower_count	carbonate_per_carbonatesilicate	hydro_class	biogeo_class	floodplainwetland_percentage	area_total_m2	watercourse_total_m	decidious_per_forest	Masl_2	wastewater_m3.a	stormsewage_m3.a	canal_percentage	disposalsite_2004_percentage
500123	1	13	1	0	0	11	1	2011	390	RHONE	2	31095	6514421	2.9	0.25	3_high	3_high	0	no	1_no	16	16	1_no	0	3_high	1_no	2_medium	2_medium	3_high	2_medium	1_no	3_high	1_no	1_no	1_natural	0.211538462	0.105769231	0	0.182692308	0	0.259124088	0.076642336	0	0.164233577	0	0.0326018	0.353228963	0.047945205	0	0.096868885	0.000978474	0.021598395	0.350661626	0.047258979	0	0.100189036	0.00094518	0.021598395	0.350661626	0.047258979	0	0.100189036	0.00094518	0.021598395	0.350661626	0.047258979	0	0.100189036	0.00094518	0.28018281	5289162.915	6395.2553	38.20087237	2.911571827	9.03E-05	21.5345085	1.450296179	3.062880462	4.483802511	0.001409872	4.28E-05	3.215978234	6.016294677	14.11646896	3.961810348	2.147042147	6.108852494	14.37020897	0	0	3.481246321	NA	NA	0.015250182	0.052075624	NA	0	0	1	RHONE	Mittelland	0	5289162	6395	0	424.8061284	0	0	0	0.119111476
500139	20	19	6	5	9	29	17	2012	622	RHONE	2	56951	5361248	1.1	0.3	2_medium	2_medium	0	no	1_no	2	0	1_no	0	1_no	1_no	1_no	1_no	2_medium	1_no	1_no	1_no	2_medium	1_no	2_low_impacted	0.029126214	0.310679612	0	0.155339806	0	0.097982709	0.311239193	0	0.089337176	0	0	0.103064067	0.357474466	0.002785515	0.035283194	0	0.213270025	0.107303877	0.349864743	0.00541028	0.03606853	0	0.213270025	0.107303877	0.349864743	0.00541028	0.03606853	0	0.213270025	0.107303877	0.349864743	0.00541028	0.03606853	0	0.278434428	746231.3291	1088.2461	0	0	0	0	0	0	0	0	0	0	98.15480701	0	0	0	0	0	0	0	5.451724492	NA	NA	0.123530333	0.130044	NA	0	0	1	RHONE	Jura	0	746231	1088	0.134403483	817.4804477	0	0	0	0
506139	5	10	2	0	3	15	5	2013	460	RHONE	3	50629	21104416	2.5	0.3	3_high	3_high	0	yes	1_no	3	13	yes	20	1_no	2_medium	1_no	2_medium	2_medium	2_medium	1_no	3_high	1_no	1_no	2_low_impacted	0.294117647	0.029411765	0	0.176470588	0	0.376404494	0.016853933	0	0.106741573	0	0	0.261227853	0.173053152	0	0.064688916	0	0	0.153037383	0.297429907	0.005607477	0.042523364	0	0.217368759	0.153037383	0.297429907	0.005607477	0.042523364	0	0.217368759	0.153037383	0.297429907	0.005607477	0.042523364	0	0.004777107	17979963.46	20925.861	24.34184645	1.347687564	0.524668831	10.33962947	2.617831831	0.263774183	2.520555234	1.702151175	0.221682628	0.131982117	51.31749583	9.865075875	1.739895599	0.87216704	2.612062639	5.239185375	0.389322261	0.003531379	2.074540967	0.06875	3.25	0.040939618	0.1916605	0.96	0	0	1	RHONE	Mittelland	0	21098983	26094	0.333834781	730.7127648	329805	3926	0	0.380423465
518147	4	8	2	0	2	11	4	2013	399	RHONE	3	61890	3684299	5	0.35	3_high	3_high	10	no	1_no	15	15	yes	70	1_no	2_medium	2_medium	3_high	2_medium	2_medium	1_no	1_no	1_no	1_no	1_natural	0.221311475	0.098360656	0	0.180327869	0	0.277777778	0.055555556	0	0.166666667	0	0	0.334699454	0.046448087	0	0.117486339	0	0	0.335149864	0.046321526	0	0.117166213	0	0	0.335149864	0.046321526	0	0.117166213	0	0	0.335149864	0.046321526	0	0.117166213	0	1	3356169.73	4424.156	20.58697005	0.452641194	0.623106649	7.771870748	2.937349365	2.922134854	1.786183056	0.346041819	1.64344334	36.67909975	6.608368478	6.222496343	3.779211463	1.9290833	5.708294763	15.29718957	0.282796425	0.107068065	3.923519254	NA	NA	0.074490884	0.1702476	NA	0	0	1	RHONE	Mittelland	0	3356169	4424	0.348250143	500.6312799	0	0	0	0.569101134
521174	7	6	1	0	6	10	5	2009	750	RHEIN	2	275419	503810	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.178294574	0.201550388	0	0.108527132	0.007751938	0.255154639	0.149484536	0	0.06443299	0.028350515	0.27254989	0.113096826	0.300080021	0.027473993	0.049879968	0.006401707	0.542830657	0.064825083	0.30255066	0.075108378	0.029035185	0.023389455	0.718050668	0.045351901	0.306619307	0.10215939	0.01613662	0.02309936	0.804674692	0.045351901	0.306619307	0.10215939	0.01613662	0.02309936	0.233536829	348438.7313	566.916	18.45994395	0.461165318	0.013409867	8.263233216	1.685083858	0	1.604892855	0.76798307	0	0	29.83689008	23.88283807	2.774785157	1.240907433	4.01569259	14.61761161	0	0.47221817	4.319360025	NA	NA	0.2493534	0.2493534	NA	0	0	1	AARE	Jura	0	348438	566	0.611607143	784.9808651	0	0	0	0
524155	7	17	1	0	6	19	5	2012	520	RHONE	4	80351	14874067	2.75	0.3	3_high	3_high	0	no	1_no	16	16	1_no	0	1_no	1_no	2_medium	1_no	2_medium	1_no	1_no	2_medium	1_no	1_no	1_natural	0.386792453	0.075471698	0	0.037735849	0	0.394557823	0.081632653	0	0.023809524	0	0.163436727	0.301500682	0.164392906	0	0.032742156	0.000341064	0.015355488	0.297154203	0.169424222	0	0.032097948	0.000330907	0.015102276	0.297154203	0.169424222	0	0.032097948	0.000330907	0.015102276	0.297154203	0.169424222	0	0.032097948	0.000330907	1	14673078.39	20472.0542	45.80141921	1.255957237	0.087594237	20.11248	5.690814043	0.389277624	4.89727112	2.680745454	0.460828383	0.019327734	30.88070613	15.82952924	2.031650637	1.049939886	3.081590523	5.631314052	0	0.023842855	1.949645034	0.020769231	4	0.019275495	0.1046078	0.35	0	0	1	RHONE	Mittelland	0	14673078	20472	0.393539013	632.3152127	327914	9378	0.699942088	0.068152025
524171	30	17	10	9	11	32	23	2013	679	RHEIN	3	276917	27637585	5.3	0.4	2_medium	2_medium	0	no	1_no	15	15	no	NA	1_no	1_no	1_no	1_no	2_medium	1_no	1_no	1_no	1_no	NA	2_low_impacted	0.126984127	0.277777778	0	0.095238095	0	0.168582375	0.256704981	0	0.068965517	0	0.240008865	0.070988921	0.31719327	0.092326631	0.017234304	0	0.534594061	0.0811297	0.263716496	0.13743479	0.016189962	0.000359777	0.6765884	0.081100521	0.263801475	0.137385362	0.01618414	0.000359648	0.6766072	0.081100521	0.263801475	0.137385362	0.01618414	0.000359648	0.202307297	23469492.5	12238.7239	0.105935564	0.00044392	0.000451992	0.04127754	0.013893701	0.215529376	0.007171333	0.003517061	0.000456027	0	53.61315805	32.17835188	0.546739168	0.244846096	0.791585264	1.125063577	0	0	1.642217399	0.368	12.8	0.082691158	0.2369759	1.18	0	0	1	AARE	Jura	0	27485586	16176	0.619115096	1069.037993	63945	2313	1.196986818	0.050278036
530155	17	15	5	2	10	27	15	2013	390	RHONE	4	81043	225305194	10	0.6	3_high	3_high	0	no	1_no	15	15	no	NA	1_no	1_no	1_no	2_medium	2_medium	2_medium	1_no	1_no	1_no	1_no	1_natural	0.163522013	0.245283019	0	0.075471698	0.012578616	0.221498371	0.206840391	0	0.057003257	0.004885993	0.061083577	0.346827559	0.081743869	0	0.067341378	0.001557026	0.085429164	0.362970968	0.078793535	0	0.054968807	0.001129832	0.067000699	0.281682665	0.165103729	0.011854735	0.038461538	0.000707745	0.183858675	0.281682665	0.165103729	0.011854735	0.038461538	0.000707745	0.17935106	48548714.37	48246.4456	60.20600114	1.414504181	0.873467841	27.69997808	7.439886155	1.348048925	7.527875263	3.602032493	1.719561988	1.33362369	11.88172515	10.45233739	2.688131794	1.499572347	4.187704141	7.818901354	0.329565905	0.027590458	2.017758223	0.838591549	11.35211268	0.033122593	0.3105287	5.49	0	0	1	RHONE	Mittelland	0.926610005	226615858	191846	0.238141781	498.6847921	1915042	27917	0.251736439	0.364170303
530163	7	24	3	0	4	25	6	2011	447	RHONE	3	92609	12009033	2.9	0.25	3_high	2_medium	0	no	2_low	5	3	1_no	0	1_no	1_no	2_medium	3_high	3_high	1_no	1_no	1_no	1_no	1_no	2_low_impacted	0.296296296	0.166666667	0	0.037037037	0	0.382978723	0.090425532	0	0.026595745	0	0.336714048	0.404791409	0.049566295	0	0.043370508	0	0.094804505	0.403931007	0.048535901	0	0.045326915	0	0.094804505	0.403931007	0.048535901	0	0.045326915	0	0.094804505	0.403931007	0.048535901	0	0.045326915	0	0.10105911	12012927.85	12927.7924	68.91509152	1.096202097	0.25259109	31.77950625	7.492551453	0.776823867	8.170567975	7.432676338	0.258753817	0	9.336251954	13.26096899	1.993749181	1.062283497	3.056032678	5.32478535	0	0.003229238	2.348596605	0.019545455	4.727272727	0.04308191	0.1080724	0.24	0	0	1	RHONE	Mittelland	0.573632097	12012927	12927	0.344443052	555.0951638	148208	3529	0	0.300509588
536163	9	18	4	0	5	21	8	2012	590	RHEIN	2	277153	10951992	2.85	0.15	2_medium	1_no	20	no	4_high	3	3	1_no	0	2_medium	1_no	2_medium	2_medium	2_medium	1_no	1_no	3_high	1_no	1_no	4_artificial	0.4125	0.0625	0	0.0125	0	0.433928571	0.033928571	0	0.028571429	0	0	0.417577413	0.047358834	0	0.033697632	0	0.089169549	0.418025362	0.047101449	0	0.033514493	0	0.089169549	0.418025362	0.047101449	0	0.033514493	0	0.089169549	0.418025362	0.047101449	0	0.033514493	0	0.785444794	10411133.74	6975.454	66.61843746	0.911333016	1.455468541	31.81111057	7.092302667	0.775053349	8.631656606	7.257861801	0.371359506	0	9.051025571	16.395373	2.176390767	1.222756145	3.399146913	6.173953317	0.192102037	0.030823811	1.465153172	0.024	5.2	0.020122892	0.03940461	0.27	0	0	1	AARE	Mittelland	0	10411133	6975	0.381696429	614.8970915	467460	8347	0	0.288153056
