x	y
721125	77118
721085	77035
721083	76993
721080	76973
721095	76953
721143	76925
721153	76898
721145	76833
721123	76830
721095	76820
721065	76800
721045	76768
721025	76620
720995	76538
720960	76485
720948	76410
720945	76378
720955	76345
720965	76328
720955	76313
720935	76303
720920	76288
720900	76188
720880	76128
720885	76113
720893	76105
720898	76090
720883	76068
720878	76048
720923	76020
720923	76000
720878	75945
720850	75870
720795	75818
720878	75685
721230	75795
721335	75723
721413	75728
721545	75625
721608	75545
721628	75530
721648	75525
721663	75533
721688	75508
721718	75498
721773	75495
721803	75483
721828	75470
721973	75440
722093	75455
722123	75453
722215	75425
722278	75390
722305	75388
722343	75393
722365	75388
722423	75340
722463	75320
722565	75283
722670	75270
722713	75280
722763	75285
722790	75435
723015	75585
723030	75615
723040	75680
723068	75708
723100	75730
723148	75738
723243	75735
723295	75730
723353	75730
723383	75715
723418	75690
723450	75660
723515	75625
723598	75588
723635	75610
723728	75615
723820	75628
723905	75730
723973	75785
724003	75818
724035	75865
723948	75923
723885	75958
723840	75975
723785	76010
723760	76035
723763	76065
723775	76088
723783	76093
723808	76088
723835	76093
723860	76090
723868	76105
723863	76133
723850	76165
723848	76210
723883	76285
723898	76313
723890	76348
723880	76363
723888	76395
723905	76408
723925	76435
723948	76450
723958	76480
723955	76508
723963	76538
723990	76593
724023	76620
724035	76650
723983	76720
724020	76800
724008	76888
724028	76903
724060	76915
724083	76935
724103	76960
724208	77148
724260	77255
724260	77283
724255	77308
724180	77413
724058	77655
724060	77720
724075	77778
724080	77855
724093	77890
724115	77920
724183	77955
724238	77975
724318	77973
724318	78018
724300	78108
724300	78143
724313	78218
724330	78248
724350	78295
724358	78325
724403	78413
724463	78495
724600	78468
724700	78498
724733	78595
724760	78648
724785	78640
724800	78750
724818	78835
724890	78890
724923	78923
724970	79003
725000	79043
725040	79075
725108	79105
725218	79133
725195	79145
725185	79160
725150	79190
725128	79193
725100	79208
725080	79228
725025	79245
725060	79278
725118	79310
725198	79335
725223	79360
725260	79383
725300	79378
725278	79463
725273	79500
725240	79583
725203	79690
725185	79718
725148	79758
725103	79830
725103	79853
725113	79938
725120	80030
725110	80065
725078	80150
725073	80175
725083	80220
725083	80253
725078	80283
725083	80313
725093	80338
725148	80385
725153	80468
725160	80498
725195	80548
725210	80625
725220	80650
725245	80680
725270	80720
725273	80745
725258	80773
725250	80800
725263	80820
725315	80870
725423	80898
725403	80930
725378	80958
725358	81055
725398	81070
725413	81085
725428	81118
725520	81260
725555	81288
725545	81315
725498	81363
725485	81408
725483	81460
725490	81508
725510	81548
725545	81590
725620	81660
725673	81688
725713	81698
725910	81660
726040	81730
726138	81755
726198	81763
726255	81788
726325	81805
726353	81765
726383	81733
726440	81808
726525	81940
726593	82038
726685	82210
726723	82270
726750	82413
726763	82445
726818	82505
726885	82540
726925	82543
726970	82573
727028	82600
727058	82623
727078	82633
727123	82678
727138	82685
727208	82770
727223	82783
727253	82825
727223	82845
727213	82860
727213	82870
727220	82883
727223	82908
727220	82925
727210	82935
727225	82973
727225	82988
727230	82998
727245	83010
727278	83055
727285	83080
727285	83118
727360	83188
727370	83205
727375	83228
727365	83248
727358	83288
727313	83328
727290	83360
727283	83405
727195	83433
727248	83603
727530	83580
727533	83645
727568	83688
727593	83700
727653	83720
727680	83735
727710	83760
727720	83785
727718	83820
727775	83875
727793	83903
727770	83995
727780	84023
727795	84048
727845	84060
727885	84075
727995	84145
728025	84158
728080	84165
728058	84198
728038	84240
727993	84298
727968	84338
727963	84390
727965	84423
727995	84465
728010	84515
728025	84538
728053	84563
728090	84580
727915	84753
727578	84603
727150	84408
727090	84863
727020	85160
727158	85508
727090	85673
727105	85683
727093	85758
727068	85763
727035	85763
727003	85775
726930	85850
726830	85905
726785	85903
726750	85895
726715	85880
726635	85808
726570	85788
726548	85775
726535	85743
726533	85720
726540	85673
726550	85640
726485	85640
726413	85653
726413	85760
726438	85845
726460	85890
726288	86030
726208	86065
726173	86090
726123	86110
726075	86118
725998	86100
725715	86293
725758	86578
725780	86763
725778	86783
725708	86790
725693	86785
725670	86768
725650	86765
725633	86768
725605	86763
725585	86750
725575	86730
725558	86725
725520	86723
725463	86708
725438	86708
725425	86688
725410	86700
725383	86708
725310	86743
725298	86730
725273	86723
725230	86730
725183	86725
725158	86740
725135	86738
725113	86728
725060	86685
725043	86680
725020	86690
725000	86708
724975	86705
724940	86708
724973	86790
724955	86845
724963	86893
724950	86895
724933	86908
724913	86915
724903	86935
724888	86950
724868	86950
724858	86958
724828	87005
724818	87035
724783	87080
724763	87090
724740	87093
724685	87145
724665	87150
724650	87180
724643	87205
724630	87215
724610	87220
724603	87240
724605	87288
724598	87318
724560	87368
724540	87383
724520	87380
724505	87388
724495	87413
724478	87425
724430	87485
724408	87473
724133	87395
723975	87343
723893	87350
723793	87353
723593	87370
723430	87360
723378	87400
723225	87553
723173	87588
723023	87615
722880	87620
722798	87593
722655	87563
722613	87548
722615	87575
722645	87598
722658	87630
722655	87655
722633	87730
722650	87813
722653	87865
722690	87953
722695	87995
722695	88085
722703	88118
722725	88143
722738	88208
722740	88250
722763	88303
722795	88330
722828	88430
722838	88525
722823	88570
722795	88628
722685	88643
722663	88660
722638	88778
722623	88805
722565	88823
722413	88900
722305	88885
722268	88885
722248	88900
722243	88925
722243	88960
722235	88985
722215	89003
722180	89010
722145	89005
722130	89018
722120	89068
722095	89140
722065	89203
722045	89230
722025	89248
722088	89290
722143	89335
722205	89455
722350	89723
722408	89853
722365	89910
722338	89963
722258	90055
722233	90285
722128	91115
722023	91173
721760	91305
721370	91465
721213	91518
721000	91600
720883	91640
720750	91698
720633	91725
720585	91733
720540	91775
720490	91835
720438	91883
720410	91898
720388	91930
720258	92060
720223	92105
720168	92160
720165	92223
720155	92260
720138	92300
720108	92380
720110	92415
720128	92448
720150	92388
720170	92348
720223	92288
720275	92265
720290	92275
720323	92320
720423	92418
720465	92365
720500	92345
720570	92315
720605	92310
720633	92368
720673	92418
720693	92450
720698	92475
720710	92503
720710	92555
720728	92623
720718	92653
720690	92700
720708	92765
720705	92793
720688	92808
720635	92873
720625	92898
720628	92920
720650	92948
720655	92988
720645	93023
720643	93048
720693	93108
720655	93215
720635	93300
720793	93295
720865	93298
721115	93290
721133	93283
721145	93265
721153	93238
721155	93203
721180	93200
721293	93233
721330	93228
721353	93233
721385	93283
721408	93298
721445	93303
721530	93303
721560	93308
721600	93330
721623	93333
721645	93350
721648	93375
721663	93403
721673	93433
721668	93463
721675	93495
721698	93513
721750	93545
721788	93573
721823	93590
721858	93623
721858	93655
721838	93750
721833	93803
721838	93893
721883	94015
721868	94158
721930	94178
721965	94195
721993	94223
722003	94250
722050	94225
722085	94200
722215	94150
722255	94158
722290	94158
722333	94148
722380	94130
722440	94165
722723	94350
722738	94538
722735	94628
722740	94700
723000	94765
723173	94813
723108	94968
723063	95093
723018	95193
722973	95343
722938	95433
722898	95545
722868	95607
722840	95885
722725	96845
722723	96928
722693	97223
722674	97373
722618	97408
722593	97430
722568	97460
722553	97495
722533	97518
722535	97565
722525	97578
722483	97583
722450	97608
722430	97633
722405	97650
722373	97708
722348	97775
722333	97793
722308	97805
722238	97875
722215	97888
722155	97923
722118	97930
722090	97948
722075	97975
722065	98000
722065	98028
722043	98103
722003	98170
721940	98235
721913	98245
721845	98288
721758	98350
721690	98415
721650	98448
721598	98483
721628	98523
721640	98548
