#BDM_EPT_DATA_VERSION_20150828														
#gives_all_records_of_macroinvertebrates_from_2009-2014														
sort_nr	year	locality	xkoord	ykoord	drainage	species	genus	family	order	class	IBCH_EPT	nr_ind		
2337	2009	539198	539500	198000	RHEIN	IBCH	IBCH	Ancylidae	Gastropoda	Mollusca	IBCH	11		
2770	2009	695246	695003	246778	RHEIN	IBCH	IBCH	Ancylidae	Gastropoda	Mollusca	IBCH	4		
2284	2010	548219	548785	219000	RHONE	IBCH	IBCH	Ancylidae	Gastropoda	Mollusca	IBCH	11		
1805	2010	608219	608000	219129	RHEIN	IBCH	IBCH	Ancylidae	Gastropoda	Mollusca	IBCH	1		
1027	2010	686251	686000	251652	RHEIN	IBCH	IBCH	Ancylidae	Gastropoda	Mollusca	IBCH	3		
5846	2011	662251	662109	252000	RHEIN	IBCH	IBCH	Ancylidae	Gastropoda	Mollusca	IBCH	10		
6319	2011	752211	752000	211342	RHEIN	IBCH	IBCH	Ancylidae	Gastropoda	Mollusca	IBCH	4		
11231	2012	566163	566000	163571	RHEIN	IBCH	IBCH	Ancylidae	Gastropoda	Mollusca	IBCH	1		
12296	2012	680259	680577	260000	RHEIN	IBCH	IBCH	Ancylidae	Gastropoda	Mollusca	IBCH	6		
2343	2009	539198	539500	198000	RHEIN	IBCH	IBCH	Anthomyiidae	Diptera	Insecta	IBCH	1		
826	2010	704243	704000	243357	RHEIN	IBCH	IBCH	Anthomyiidae	Diptera	Insecta	IBCH	2		
758	2010	710227	710220	228000	RHEIN	IBCH	IBCH	Anthomyiidae	Diptera	Insecta	IBCH	3		
22	2010	824203	824033	204000	INN	IBCH	IBCH	Anthomyiidae	Diptera	Insecta	IBCH	2		
6166	2011	626107	627000	107285	RHONE	IBCH	IBCH	Anthomyiidae	Diptera	Insecta	IBCH	11		
5771	2011	644139	644772	140000	RHONE	IBCH	IBCH	Anthomyiidae	Diptera	Insecta	IBCH	1		
5632	2011	692211	692000	211204	RHEIN	IBCH	IBCH	Anthomyiidae	Diptera	Insecta	IBCH	2		
6459	2011	830163	830000	163059	ADIGE	IBCH	IBCH	Anthomyiidae	Diptera	Insecta	IBCH	1		
11067	2012	536163	536301	164000	RHEIN	IBCH	IBCH	Anthomyiidae	Diptera	Insecta	IBCH	1		
11279	2012	578091	579000	91625	RHONE	IBCH	IBCH	Anthomyiidae	Diptera	Insecta	IBCH	2		
