locality	valid	xkoord	ykoord	year	locality_name	masl	drainage	river_category	river_name	Strahler_order	distance_to_outlet	catchment	width	depth	var_depth	var_waterlevel	river_bed_modified	natural_cascades	embankment_modifications	width_riparian_left	width_riparian_right	cascades	cascade_height	mud	turbidity	foam	FeS	clogging	waste	periphyton	algae	moss	macrophytes	MSK_class	Agriculture_prop_500m	Woods_prop_500m	Meadows_prop_500m	Settlement_prop_500m	Water_prop_500m	Agriculture_prop_1km	Woods_prop_1km	Meadows_prop_1km	Settlement_prop_1km	Water_prop_1km	Calcite_prop_1km	Agriculture_prop_5km	Woods_prop_5km	Meadows_prop_5km	Settlement_prop_5km	Water_prop_5km	Calcite_prop_5km	Agriculture_prop_10km	Woods_prop_10km	Meadows_prop_10km	Settlement_prop_10km	Water_prop_10km	Calcite_prop_10km	Agriculture_prop_100km	Woods_prop_100km	Meadows_prop_100km	Settlement_prop_100km	Water_prop_100km	Calcite_prop_100km	Agriculture_prop_1000km	Woods_prop_1000km	Meadows_prop_1000km	Settlement_prop_1000km	Water_prop_1000km	Calcite_prop_1000km
521174	valid	520945	174582	2009	LeDay	750	RHEIN	Bach	Seitenfluss_Orbe	2	275419	503810	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.178294574	0.201550388	0	0.108527132	0.007751938	0.255154639	0.149484536	0	0.06443299	0.028350515	0.27254989	0.113096826	0.300080021	0.027473993	0.049879968	0.006401707	0.542830657	0.064825083	0.30255066	0.075108378	0.029035185	0.023389455	0.718050668	0.045351901	0.306619307	0.10215939	0.01613662	0.02309936	0.804674692	0.045351901	0.306619307	0.10215939	0.01613662	0.02309936	0.233536829
539198	valid	539000	198000	2009	Couvet	730	RHEIN	Fluss	Areuse	3	252040	249125974	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.066225166	0.185430464	0.006622517	0.225165563	0	0.067940552	0.21656051	0.036093418	0.165605096	0.006369427	0.772710173	0.111395254	0.231178396	0.122545008	0.03089198	0.001841244	0.819288557	0.130160688	0.235275979	0.10621167	0.022133141	0.002466852	0.791517389	0.122603386	0.243567869	0.109447263	0.018881056	0.001728705	0.817691457	0.122603386	0.243567869	0.109447263	0.018881056	0.001728705	0.40242781
551166	valid	550962	166394	2009	Moudon	540	RHEIN	Fluss	Broye	5	266641	182395386	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.132352941	0.323529412	0	0.014705882	0	0.25	0.222222222	0	0.013888889	0	0.334104105	0.352736549	0.105983302	0	0.038033395	0.002319109	0.2524672	0.361388286	0.098336949	0	0.037671728	0.001156905	0.300625378	0.327711568	0.113246228	0.019981413	0.03616335	0.000765362	0.262654885	0.327711568	0.113246228	0.019981413	0.03616335	0.000765362	0.422846358
569110	valid	569016	110347	2009	Vernayaz	450	RHONE	Bach	GrandCanal	4	130168	33072016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.198113208	0.08490566	0	0.179245283	0.009433962	0.11662531	0.166253102	0	0.151364764	0.007444169	0	0.029033444	0.281514149	0.013965454	0.03969129	0.002205072	0.015110776	0.012718601	0.124483307	0.053895072	0.018441971	0.030206677	0.23486435	0.012718601	0.124483307	0.053895072	0.018441971	0.030206677	0.23486435	0.012718601	0.124483307	0.053895072	0.018441971	0.030206677	0.442370848
587207	valid	587612	207000	2009	Radelfingen	530	RHEIN	Bach	Salzbach	2	202714	2134734	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.009259259	0.490740741	0	0	0	0.180921053	0.3125	0	0.006578947	0	0.498810845	0.244755245	0.233100233	0	0.020979021	0	0.576136524	0.255965293	0.221258134	0	0.021691974	0	0.576136524	0.255965293	0.221258134	0	0.021691974	0	0.576136524	0.255965293	0.221258134	0	0.021691974	0	0.060443685
593238	valid	594002	238627	2009	Roches	800	RHEIN	Bach	SeitenflussBirs	2	61773	3627686	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.107142857	0.357142857	0.007142857	0.014285714	0	0.081871345	0.342105263	0.058479532	0.011695906	0	0.690329689	0.161202186	0.25	0.06557377	0.020491803	0	0.790673157	0.163101604	0.25	0.064171123	0.020053476	0	0.790673157	0.163101604	0.25	0.064171123	0.020053476	0	0.790673157	0.163101604	0.25	0.064171123	0.020053476	0	0.61582642
599190	valid	599364	191089	2009	Oberbalm	760	RHEIN	Bach	Scherlibach	2	233620	619029	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.416666667	0.083333333	0	0	0	0.415384615	0.069230769	0	0.015384615	0	1	0.420634921	0.071428571	0	0.007936508	0	1	0.415384615	0.069230769	0	0.015384615	0	1	0.415384615	0.069230769	0	0.015384615	0	1	0.415384615	0.069230769	0	0.015384615	0	1
617214	valid	617790	215000	2009	Wynigen	580	RHEIN	Bach	Cholholzgrabebach	3	174222	933104	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.239583333	0.25	0	0.010416667	0	0.261904762	0.208333333	0	0.029761905	0	0.914729583	0.257894737	0.205263158	0	0.036842105	0	0.925646564	0.267326733	0.198019802	0	0.034653465	0	0.925646564	0.267326733	0.198019802	0	0.034653465	0	0.925646564	0.267326733	0.198019802	0	0.034653465	0	0.946319511
623158	valid	622779	158547	2009	Kiental	980	RHEIN	Bach	Spiggebach	4	269120	24846625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.074380165	0.256198347	0.132231405	0.016528926	0.008264463	0.029220779	0.308441558	0.113636364	0.006493506	0.006493506	0.648735209	0.002955665	0.155665025	0.205582923	0.002627258	0.004926108	0.808300587	0.001871491	0.098357247	0.175504263	0.001871491	0.003742982	0.878444616	0.001871491	0.098357247	0.175504263	0.001871491	0.003742982	0.878444616	0.001871491	0.098357247	0.175504263	0.001871491	0.003742982	0.367539688
623246	valid	623000	246600	2009	Waldenburg	700	RHEIN	Bach	Nuenbrunnen	2	41707	997470	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.052631579	0.421052632	0.026315789	0	0	0.144736842	0.243421053	0.098684211	0.013157895	0	0.984498263	0.17961165	0.194174757	0.111650485	0.014563107	0	0.988722193	0.179245283	0.193396226	0.113207547	0.014150943	0	0.988722193	0.179245283	0.193396226	0.113207547	0.014150943	0	0.988722193	0.179245283	0.193396226	0.113207547	0.014150943	0	0.251062831
