FID,FID_1,locality,xkoord,ykoord,OBJECTID_1,OBJECTID,EZGNR,TEILEZGNR,GWLNR,MEASURE,GEWISSNR,CH,SEE,H1,H2,KANAL,FLUSSGB,RELEASE,MUTATION,HIERARCHIE,INTERNS,POLY_ID,tezgnr40,tezgnr150,tezgnr1000,Shape_Leng,Shape_Le_1,Shape_Area
0,110,"776,211","776,000","211,195",1,1,"100,749",749,CH0026240000,794,"2,624",1,0,"32,534.000000000000000","32,535.000000000000000",0,10,"2,012","2,010",2764663,1.000000000000000,"27,639","105,010","120,790","130,773","8,405.407448669999200","8,405.407448669999200","3,148,913.416240000200000"
1,45,"608,179","608,000","179,438",21,21,"135,133","35,133",CH0005130000,"8,395",513,1,0,"24,145.000000000000000","24,146.000000000000000",0,20,"2,012","2,010",24934493,1.000000000000000,"83,755","106,831","120,302","130,466","9,656.697046119999900","9,656.697046119999900","3,598,449.320090000100000"
2,346,"566,179","566,035","180,000",123,123,"101,750","1,750",CH0057760000,329,"5,776",1,0,"20,140.000000000000000","20,141.000000000000000",0,20,"2,012","2,010",2488288483,1.000000000000000,"5,344","103,633","120,193","130,859","11,921.288369399999000","11,921.288369399999000","4,895,724.588960000300000"
3,225,"560,179","560,000","179,625",153,153,"105,980","5,980",CH0125400000,0,"12,540",1,0,"20,218.000000000000000","20,219.000000000000000",0,20,"2,012","2,012",2488288596,1.000000000000000,"7,846","108,456","120,265","130,859","9,059.422917449999700","9,059.422917449999700","2,453,545.972800000100000"
4,57,"638,179","638,000","179,712",233,233,"166,879","66,879",CH0004680000,"75,987",468,1,0,"19,195.000000000000000","19,208.000000000000000",0,20,"2,012","2,010",24789975,1.000000000000000,"74,419","108,280","120,784","130,234","6,852.656814189999700","6,852.656814189999700","2,614,557.635569999900000"
5,449,"542,179","543,000","179,789",299,299,"153,525","53,525",CH0032170000,"1,430","3,217",1,0,"20,971.000000000000000","20,972.000000000000000",0,20,"2,012","2,010",24885443,1.000000000000000,"14,079","100,203","120,175","130,412","12,557.863146199999000","12,557.863146199999000","5,300,265.116250000000000"
6,377,"626,179","626,633","180,000",322,322,"111,425","11,425",CH0014620000,"1,393","1,462",1,0,"24,550.000000000000000","24,551.000000000000000",0,20,"2,012","2,010",24938423,1.000000000000000,"87,202","104,528","120,158","130,466","8,937.092434239999400","8,937.092434239999400","2,735,598.747000000000000"
7,250,"620,179","621,000","179,651",355,355,"121,547","21,547",CH0014580000,0,"1,458",1,0,"24,513.000000000000000","24,514.000000000000000",0,20,"2,012","2,010",2493822,1.000000000000000,"4,694","100,146","120,158","130,466","10,147.360077500000000","10,147.360077500000000","3,897,909.670529999800000"
8,459,"572,179","572,000","179,156",374,374,"126,795","26,795",CH0002330000,"6,453",233,1,0,"22,307.000000000000000","22,516.000000000000000",0,20,"2,012","2,010",24924153,1.000000000000000,"58,634","109,486","120,032","130,751","6,861.615633479999800","6,861.615633479999800","1,921,117.366680000000000"
9,471,"602,179","602,811","180,000",392,392,"151,873","51,873",CH0015090000,"4,498","1,509",1,0,"21,820.000000000000000","21,825.000000000000000",0,20,"2,012","2,010",24922487,1.000000000000000,"7,595","105,012","120,919","130,751","7,047.925697669999900","7,047.925697669999900","1,908,851.537410000100000"
10,362,"596,179","596,000","179,316",405,405,"193,065","93,065",CH0015130000,"1,074","1,513",1,0,"21,836.000000000000000","21,837.000000000000000",0,20,"2,012","2,010",249224925,1.000000000000000,"19,039","105,012","120,919","130,751","9,286.719364270000400","9,286.719364270000400","3,051,255.244190000000000"
11,486,"632,179","633,000","179,317",435,435,"194,728","94,728",CH0014800000,"5,119","1,480",1,0,"26,000.000000000000000","26,005.000000000000000",0,20,"2,012","2,010",24958673,1.000000000000000,"34,281","106,975","120,556","130,358","7,836.399407349999800","7,836.399407349999800","2,002,904.977200000100000"
12,37,"578,179","579,000","179,644",492,492,"132,766","32,766",CH3509900000,0,"350,990",1,0,"22,536.000000000000000","22,537.000000000000000",0,20,"2,012","2,010",24925234,1.000000000000000,"47,228","102,274","120,868","130,751","5,794.008606309999800","5,794.008606309999800","1,071,198.271600000100000"
13,257,"632,171","632,000","171,006",526,526,"197,008","97,008",CH0000370000,"236,023",37,1,0,"26,031.000000000000000","27,189.000000000000000",0,20,"2,012","2,010",2495973,1.000000000000000,"92,055","100,007","120,556","130,358","7,949.213480260000300","7,949.213480260000300","2,873,868.988270000100000"
14,120,"542,171","542,000","171,115",553,553,"174,472","74,472",CH0002310000,"5,719",231,1,0,"21,007.000000000000000","21,020.000000000000000",0,20,"2,012","2,010",248854655,1.000000000000000,"16,570","101,373","120,175","130,412","8,387.882176429999200","8,387.882176429999200","2,007,374.883040000000000"
