#All EPT species ever collected in the monitoring																		
speciesID	species	genus	family	order	class	IBCH_EPT	grazer_scraper	miner	xylophagous	shredder	gatherer_collector	active_filter_feeder	passive_filter_feeder	predator	parasite	other	comments	Total
5499	Alainites_muticus	Alainites	Baetidae	Ephemeroptera	Insecta	EPT	5	0	0	0	5	0	0	0	0	0	NA	10
5500	Ameletus_inopinatus	Ameletus	Baetidae	Ephemeroptera	Insecta	EPT	5	0	0	0	5	0	0	0	0	0	NA	10
5503	Baetis_alpinus	Baetis	Baetidae	Ephemeroptera	Insecta	EPT	5	0	0	0	5	0	0	0	0	0	NA	10
5504	Baetis_buceratus	Baetis	Baetidae	Ephemeroptera	Insecta	EPT	5	0	0	0	5	0	0	0	0	0	NA	10
5501	Baetis_fuscatus_Komplex	Baetis	Baetidae	Ephemeroptera	Insecta	EPT	5	0	0	0	5	0	0	0	0	0	NA	10
5506	Baetis_liebenauae	Baetis	Baetidae	Ephemeroptera	Insecta	EPT	5	0	0	0	5	0	0	0	0	0	NA	10
5507	Baetis_lutheri_Komplex	Baetis	Baetidae	Ephemeroptera	Insecta	EPT	5	0	0	0	5	0	0	0	0	0	NA	10
5508	Baetis_melanonyx	Baetis	Baetidae	Ephemeroptera	Insecta	EPT	5	0	0	0	5	0	0	0	0	0	NA	10
5509	Baetis_nubecularis	Baetis	Baetidae	Ephemeroptera	Insecta	EPT	5	0	0	0	5	0	0	0	0	0	NA	10
5510	Baetis_pentaphlebodes	Baetis	Baetidae	Ephemeroptera	Insecta	EPT	5	0	0	0	5	0	0	0	0	0	NA	10
5511	Baetis_rhodani	Baetis	Baetidae	Ephemeroptera	Insecta	EPT	5	0	0	0	5	0	0	0	0	0	NA	10
5514	Baetis_vernus	Baetis	Baetidae	Ephemeroptera	Insecta	EPT	5	0	0	0	5	0	0	0	0	0	NA	10
5523	Centroptilum_luteolum	Centroptilum	Baetidae	Ephemeroptera	Insecta	EPT	7	0	0	0	3	0	0	0	0	0	NA	10
5525	Cloeon_dipterum	Cloeon	Baetidae	Ephemeroptera	Insecta	EPT	5	0	0	0	5	0	0	0	0	0	NA	10
5561	Nigrobaetis_niger	Nigrobaetis	Baetidae	Ephemeroptera	Insecta	EPT	2.71	0	0	0	2.405	0	0	4.885	0	0	averaged_family	10
5516	Caenis_horaria	Caenis	Caenidae	Ephemeroptera	Insecta	EPT	0	0	0	0	10	0	0	0	0	0	NA	10
5518	Caenis_luctuosa	Caenis	Caenidae	Ephemeroptera	Insecta	EPT	0	0	0	0	10	0	0	0	0	0	NA	10
5519	Caenis_macrura	Caenis	Caenidae	Ephemeroptera	Insecta	EPT	0	0	0	0	10	0	0	0	0	0	NA	10
5521	Caenis_rivulorum	Caenis	Caenidae	Ephemeroptera	Insecta	EPT	0	0	0	0	10	0	0	0	0	0	NA	10
5547	Ephemerella_mucronata	Ephemerella	Ephemerellidae	Ephemeroptera	Insecta	EPT	5	0	0	0	5	0	0	0	0	0	NA	10
5590	Serratella_ignita	Serratella	Ephemerellidae	Ephemeroptera	Insecta	EPT	5	0	0	0	5	0	0	0	0	0	NA	10
5593	Torleya_major	Torleya	Ephemerellidae	Ephemeroptera	Insecta	EPT	5	0	0	0	5	0	0	0	0	0	NA	10
5543	Ephemera_danica	Ephemera	Ephemeridae	Ephemeroptera	Insecta	EPT	0	0	0	0	3	7	0	0	0	0	NA	10
5527	Ecdyonurus_helveticus_Komplex	Ecdyonurus	Heptageniidae	Ephemeroptera	Insecta	EPT	5	0	0	0	5	0	0	0	0	0	NA	10
5536	Ecdyonurus_venosus_Komplex	Ecdyonurus	Heptageniidae	Ephemeroptera	Insecta	EPT	5	0	0	0	5	0	0	0	0	0	NA	10
5539	Electrogena_lateralis	Electrogena	Heptageniidae	Ephemeroptera	Insecta	EPT	5	0	0	0	5	0	0	0	0	0	NA	10
5540	Electrogena_ujhelyii	Electrogena	Heptageniidae	Ephemeroptera	Insecta	EPT	5	0	0	0	5	0	0	0	0	0	NA	10
5541	Epeorus_alpicola	Epeorus	Heptageniidae	Ephemeroptera	Insecta	EPT	8	0	0	0	2	0	0	0	0	0	NA	10
5542	Epeorus_assimilis	Epeorus	Heptageniidae	Ephemeroptera	Insecta	EPT	10	0	0	0	0	0	0	0	0	0	NA	10
5557	Heptagenia_sulphurea	Heptagenia	Heptageniidae	Ephemeroptera	Insecta	EPT	5	0	0	0	5	0	0	0	0	0	NA	10
5571	Rhithrogena_allobrogica	Rhithrogena	Heptageniidae	Ephemeroptera	Insecta	EPT	10	0	0	0	0	0	0	0	0	0	NA	10
5572	Rhithrogena_alpestris	Rhithrogena	Heptageniidae	Ephemeroptera	Insecta	EPT	10	0	0	0	0	0	0	0	0	0	NA	10
5586	Rhithrogena_hybrida_Komplex	Rhithrogena	Heptageniidae	Ephemeroptera	Insecta	EPT	10	0	0	0	0	0	0	0	0	0	NA	10
5582	Rhithrogena_landai	Rhithrogena	Heptageniidae	Ephemeroptera	Insecta	EPT	10	0	0	0	0	0	0	0	0	0	NA	10
5583	Rhithrogena_loyolaea	Rhithrogena	Heptageniidae	Ephemeroptera	Insecta	EPT	10	0	0	0	0	0	0	0	0	0	NA	10
5584	Rhithrogena_nivata	Rhithrogena	Heptageniidae	Ephemeroptera	Insecta	EPT	10	0	0	0	0	0	0	0	0	0	NA	10
5585	Rhithrogena_semicolorata_Komplex	Rhithrogena	Heptageniidae	Ephemeroptera	Insecta	EPT	10	0	0	0	0	0	0	0	0	0	NA	10
5550	Habroleptoides_auberti	Habroleptoides	Leptophlebiidae	Ephemeroptera	Insecta	EPT	0	0	0	0	10	0	0	0	0	0	Habroleptoides_confusa	10
5551	Habroleptoides_confusa	Habroleptoides	Leptophlebiidae	Ephemeroptera	Insecta	EPT	0	0	0	0	10	0	0	0	0	0	NA	10
5552	Habrophlebia_eldae	Habrophlebia	Leptophlebiidae	Ephemeroptera	Insecta	EPT	0	0	0	0	10	0	0	0	0	0	NA	10
5553	Habrophlebia_fusca	Habrophlebia	Leptophlebiidae	Ephemeroptera	Insecta	EPT	2	0	0	0	8	0	0	0	0	0	NA	10
5554	Habrophlebia_lauta	Habrophlebia	Leptophlebiidae	Ephemeroptera	Insecta	EPT	2	0	0	0	8	0	0	0	0	0	NA	10
5564	Paraleptophlebia_submarginata	Paraleptophlebia	Leptophlebiidae	Ephemeroptera	Insecta	EPT	0	0	0	0	10	0	0	0	0	0	NA	10
