order	family	genus	species	grazer_scraper	miner	xylophagous	shredder	gatherer_collector	active_filter_feeder	passive_filter_feeder	predator	parasite	other
Ephemeroptera	Baetidae	Alainites	Alainites_muticus	5	0	0	0	5	0	0	0	0	0
Ephemeroptera	Baetidae	Ameletus	Ameletus_inopinatus	5	0	0	0	5	0	0	0	0	0
Ephemeroptera	Baetidae	Baetis	Baetis_alpinus	5	0	0	0	5	0	0	0	0	0
Ephemeroptera	Baetidae	Baetis	Baetis_buceratus	5	0	0	0	5	0	0	0	0	0
Ephemeroptera	Baetidae	Baetis	Baetis_fuscatus_Komplex	5	0	0	0	5	0	0	0	0	0
Ephemeroptera	Baetidae	Baetis	Baetis_liebenauae	5	0	0	0	5	0	0	0	0	0
Ephemeroptera	Baetidae	Baetis	Baetis_lutheri_Komplex	5	0	0	0	5	0	0	0	0	0
Ephemeroptera	Baetidae	Baetis	Baetis_melanonyx	5	0	0	0	5	0	0	0	0	0
Ephemeroptera	Baetidae	Baetis	Baetis_pentaphlebodes	5	0	0	0	5	0	0	0	0	0
Ephemeroptera	Baetidae	Baetis	Baetis_rhodani	5	0	0	0	5	0	0	0	0	0
Ephemeroptera	Baetidae	Baetis	Baetis_vernus	5	0	0	0	5	0	0	0	0	0
Ephemeroptera	Baetidae	Centroptilum	Centroptilum_luteolum	7	0	0	0	3	0	0	0	0	0
Ephemeroptera	Caenidae	Caenis	Caenis_horaria	0	0	0	0	10	0	0	0	0	0
Ephemeroptera	Caenidae	Caenis	Caenis_macrura	0	0	0	0	10	0	0	0	0	0
Ephemeroptera	Caenidae	Caenis	Caenis_rivulorum	0	0	0	0	10	0	0	0	0	0
Ephemeroptera	Ephemerellidae	Ephemerella	Ephemerella_mucronata	5	0	0	0	5	0	0	0	0	0
Ephemeroptera	Ephemerellidae	Serratella	Serratella_ignita	5	0	0	0	5	0	0	0	0	0
Ephemeroptera	Ephemerellidae	Torleya	Torleya_major	5	0	0	0	5	0	0	0	0	0
Ephemeroptera	Ephemeridae	Ephemera	Ephemera_danica	0	0	0	0	3	7	0	0	0	0
Ephemeroptera	Heptageniidae	Ecdyonurus	Ecdyonurus_helveticus_Komplex	5	0	0	0	5	0	0	0	0	0
Ephemeroptera	Heptageniidae	Ecdyonurus	Ecdyonurus_venosus_Komplex	5	0	0	0	5	0	0	0	0	0
