x	y
824260	209684
824278	209685
824294	209689
824315	209698
824332	209708
824351	209715
824363	209715
824516	209638
824747	209527
824807	209492
825061	209365
825072	209347
825093	209337
825198	209086
825269	208864
825381	208678
825664	208493
825677	208482
825689	208476
825696	208471
825708	208463
825717	208462
825724	208457
825737	208435
825736	208433
825742	208422
825750	208410
825768	208395
825775	208379
825781	208376
825786	208370
825810	208347
825819	208334
825832	208299
825851	208278
825864	208270
825876	208256
825895	208239
825913	208190
825916	208176
825948	208141
825953	208128
825961	208116
825969	208110
825980	208086
825997	208072
826002	208065
826016	208051
826032	208040
826040	208027
826042	208013
826053	207992
826055	207973
826053	207956
826055	207949
826060	207943
826069	207941
826086	207944
826112	207918
826134	207910
826161	207895
826170	207873
826183	207833
826195	207814
826203	207797
826215	207785
826225	207783
826244	207770
826263	207765
826274	207756
826302	207749
826310	207744
826328	207723
826354	207711
826370	207701
826382	207697
826402	207699
826432	207695
826445	207690
826473	207691
826489	207679
826507	207671
826508	207669
826512	207666
826536	207649
826546	207648
826564	207652
826576	207650
826589	207643
826607	207645
826643	207630
826653	207628
826676	207612
826698	207600
826719	207584
826735	207576
826745	207563
826759	207553
826772	207537
826781	207531
826806	207530
826817	207526
826832	207515
826842	207497
826851	207485
826855	207475
826859	207449
826866	207438
826881	207432
826903	207419
826920	207411
826943	207392
826955	207384
827032	207358
827054	207344
827066	207332
827074	207320
827089	207305
827099	207290
827113	207277
827123	207258
827145	207223
827149	207212
827162	207199
827172	207196
827184	207189
827189	207182
827211	207151
827249	207110
827263	207092
827272	207087
827291	207069
827309	207045
827322	207032
827331	207006
827336	206999
827342	206981
827348	206970
827354	206939
827351	206918
827355	206906
827351	206867
827338	206846
827338	206831
827342	206808
827361	206807
827376	206795
827381	206785
827376	206756
827382	206734
827370	206720
827343	206672
827341	206660
827344	206648
827358	206632
827360	206617
827354	206604
827358	206578
827352	206560
827342	206550
827338	206540
827338	206532
827335	206525
827327	206522
827318	206510
827307	206501
827300	206485
827301	206469
827310	206435
827304	206419
827304	206410
827311	206394
827312	206382
827304	206358
827300	206337
827288	206314
827285	206295
827281	206286
827276	206264
827272	206256
827255	206237
827251	206230
827222	206207
827209	206188
827204	206172
827195	206158
827193	206148
827196	206131
827194	206109
827187	206088
827169	206075
827164	206068
827164	206061
827168	206047
827166	206040
827155	206030
827142	206007
827136	206000
827124	205992
827109	205985
827093	205972
827073	205940
827067	205923
827067	205902
827077	205861
827078	205846
827076	205836
827077	205824
827083	205816
827089	205803
827100	205792
827101	205780
827095	205763
827097	205751
827096	205746
827089	205742
827082	205733
827084	205714
827081	205703
827083	205697
827087	205693
827088	205687
827082	205666
827086	205652
827087	205641
827083	205625
827083	205611
827080	205591
827082	205568
827079	205544
827080	205528
827079	205520
827073	205508
827069	205496
827070	205487
827068	205477
827060	205463
827033	205456
827028	205453
827017	205412
827017	205388
827018	205381
827025	205371
827027	205358
827024	205337
827026	205331
827040	205309
827047	205303
827053	205307
827064	205297
827105	205280
827120	205271
827135	205248
827137	205239
827148	205216
827161	205198
827178	205187
827186	205184
827214	205183
827221	205181
827243	205152
827249	205147
827255	205145
827294	205147
827302	205145
827310	205137
827315	205129
827318	205119
827318	205096
827323	205083
827332	205071
827338	205061
827345	205039
827353	205032
827383	205017
827391	205010
827406	205004
827418	204995
827449	204966
827472	204954
827499	204934
827520	204913
827530	204906
827551	204896
827609	204884
827631	204890
827664	204897
827683	204906
827695	204907
827717	204903
827739	204902
827752	204903
827764	204908
