river_nr	x	y	river
1	546805	184248	rhine
1	546805	184267	rhine
1	546795	184298	rhine
1	546802	184303	rhine
1	546810	184294	rhine
1	546814	184274	rhine
1	546823	184236	rhine
1	546828	184225	rhine
1	546836	184216	rhine
1	546842	184209	rhine
1	546846	184206	rhine
1	546849	184200	rhine
1	546855	184189	rhine
1	546854	184168	rhine
1	546849	184152	rhine
1	546848	184147	rhine
1	546850	184123	rhine
1	546851	184117	rhine
1	546854	184115	rhine
1	546886	184093	rhine
1	546890	184092	rhine
1	546923	184069	rhine
1	546930	184062	rhine
1	546918	184046	rhine
1	546917	184040	rhine
1	546949	184019	rhine
1	546972	184019	rhine
1	546977	184011	rhine
1	546969	183997	rhine
1	546970	183990	rhine
1	546984	183980	rhine
1	547001	183958	rhine
1	547008	183937	rhine
1	547010	183933	rhine
1	547019	183926	rhine
1	547042	183924	rhine
1	547049	183927	rhine
1	547057	183936	rhine
1	547061	183934	rhine
1	547070	183924	rhine
1	547072	183920	rhine
1	547070	183907	rhine
1	547066	183898	rhine
1	547060	183885	rhine
1	547091	183862	rhine
1	547138	183812	rhine
1	547151	183811	rhine
1	547159	183797	rhine
1	547168	183784	rhine
1	547181	183772	rhine
1	547199	183769	rhine
1	547247	183772	rhine
1	547261	183787	rhine
1	547270	183805	rhine
1	547279	183814	rhine
1	547290	183818	rhine
1	547307	183815	rhine
1	547339	183800	rhine
1	547404	183785	rhine
1	547434	183781	rhine
1	547449	183777	rhine
1	547455	183759	rhine
1	547461	183750	rhine
1	547467	183748	rhine
1	547480	183748	rhine
1	547516	183737	rhine
1	547530	183740	rhine
1	547541	183751	rhine
1	547554	183752	rhine
1	547556	183749	rhine
1	547556	183741	rhine
1	547556	183738	rhine
1	547558	183727	rhine
1	547564	183718	rhine
1	547579	183703	rhine
1	547602	183699	rhine
1	547640	183678	rhine
1	547651	183678	rhine
1	547654	183681	rhine
1	547683	183684	rhine
1	547691	183694	rhine
1	547689	183720	rhine
1	547693	183729	rhine
1	547695	183733	rhine
1	547708	183738	rhine
1	547765	183718	rhine
1	547781	183716	rhine
1	547814	183717	rhine
1	547850	183712	rhine
1	547870	183718	rhine
1	547903	183739	rhine
1	547909	183743	rhine
1	547928	183744	rhine
1	547940	183741	rhine
1	547951	183743	rhine
1	547959	183744	rhine
1	547981	183763	rhine
1	548002	183775	rhine
1	548018	183770	rhine
1	548025	183772	rhine
1	548031	183777	rhine
1	548047	183799	rhine
1	548062	183805	rhine
1	548081	183811	rhine
1	548094	183813	rhine
1	548099	183812	rhine
1	548117	183815	rhine
1	548124	183824	rhine
1	548128	183843	rhine
1	548135	183850	rhine
1	548167	183860	rhine
1	548183	183864	rhine
1	548188	183864	rhine
1	548200	183869	rhine
1	548217	183873	rhine
1	548231	183882	rhine
1	548247	183893	rhine
1	548280	183922	rhine
1	548308	183942	rhine
1	548327	183961	rhine
1	548344	183980	rhine
1	548351	183988	rhine
1	548384	184031	rhine
1	548418	184078	rhine
1	548452	184102	rhine
1	548456	184103	rhine
1	548477	184119	rhine
1	548483	184134	rhine
1	548495	184149	rhine
1	548542	184195	rhine
1	548555	184215	rhine
1	548565	184226	rhine
1	548570	184229	rhine
1	548592	184235	rhine
1	548606	184247	rhine
1	548618	184268	rhine
1	548642	184279	rhine
1	548672	184308	rhine
1	548685	184316	rhine
1	548700	184349	rhine
1	548710	184360	rhine
1	548737	184381	rhine
