x	y
585473	252455
585487	252393
585455	252318
585433	252286
585421	252266
585504	252189
585553	252222
585618	252250
585721	252307
585780	252407
585807	252449
585796	252478
585800	252480
585811	252485
585866	252501
585908	252512
585938	252521
585955	252527
585980	252539
585996	252551
586028	252572
586041	252580
586074	252596
586105	252612
586126	252627
586153	252641
586172	252649
586203	252656
586262	252671
586299	252681
586357	252699
586403	252720
586431	252732
586469	252744
586508	252752
586548	252759
586583	252770
586630	252782
586698	252797
586724	252801
586738	252804
586752	252810
586784	252815
586795	252819
586871	252853
586884	252856
586904	252860
586921	252867
586941	252881
586965	252893
587005	252900
587024	252899
587054	252889
587072	252889
587090	252891
587098	252893
587106	252897
587125	252911
587138	252917
587150	252919
587167	252918
587191	252918
587217	252923
587239	252925
587253	252929
587263	252933
587287	252950
587320	252971
587377	253001
587388	253008
587399	253023
587408	253032
587434	253051
587440	253060
587449	253083
587455	253092
587483	253118
587493	253129
587503	253147
587537	253202
587561	253241
587580	253258
587600	253269
587610	253276
587620	253287
587632	253305
587648	253321
587694	253353
587703	253358
587730	253366
587740	253372
587747	253377
587753	253389
587757	253400
587761	253406
587768	253411
587786	253417
587797	253423
587832	253445
587850	253458
587860	253472
587862	253481
587866	253500
587872	253517
587877	253525
587883	253531
587889	253535
587900	253540
587925	253545
587948	253547
587975	253547
588012	253555
588032	253564
588038	253569
588058	253592
588073	253603
588081	253610
588085	253617
588089	253628
588096	253665
588104	253687
588109	253695
588127	253719
588135	253733
588137	253741
588138	253749
588140	253763
588143	253768
588151	253776
588162	253783
588172	253788
588182	253791
588187	253790
588206	253786
588214	253787
588222	253790
588235	253796
588266	253807
588293	253818
588307	253821
588344	253821
588364	253826
588379	253831
588391	253834
588398	253833
588417	253829
588427	253828
588464	253834
588500	253834
588526	253832
588558	253827
588566	253824
588572	253820
588580	253811
588588	253799
588593	253794
588601	253790
588613	253786
588623	253785
588640	253786
588653	253789
588664	253790
588671	253789
588686	253785
588700	253778
588716	253769
588731	253760
588745	253749
588754	253745
588764	253742
588774	253740
588781	253737
588791	253733
588802	253726
588834	253702
588853	253689
588873	253676
588902	253657
588916	253651
588947	253642
588961	253634
588974	253629
588981	253628
588991	253628
588996	253629
589009	253636
589021	253644
589040	253650
589048	253654
589060	253665
589081	253682
589086	253693
589090	253699
589099	253708
589110	253717
589129	253729
589153	253749
589162	253760
589168	253769
589181	253791
589203	253860
589211	253873
589223	253883
589231	253887
589241	253891
589247	253892
589297	253892
589311	253895
589325	253902
589337	253907
589344	253907
589353	253906
589364	253904
589385	253905
589393	253908
589443	253932
589450	253932
589469	253928
589485	253926
589493	253927
589499	253929
589509	253935
589536	253952
589568	253968
589577	253973
589586	253983
589595	254000
589608	254018
589621	254033
589634	254051
589651	254091
589666	254122
589677	254141
589690	254159
589698	254172
589707	254192
589710	254196
589717	254202
589733	254212
589744	254215
589759	254215
589763	254216
589784	254225
589795	254229
589817	254231
589878	254230
589919	254238
589929	254237
589936	254234
589944	254232
589953	254231
589975	254232
589993	254232
590020	254238
590041	254244
590062	254244
590102	254241
590126	254235
590158	254227
590172	254220
590186	254210
590204	254200
590226	254191
590271	254178
590294	254165
590308	254158
590321	254154
590372	254149
590432	254142
590444	254140
590488	254137
590502	254140
590520	254147
590552	254158
590568	254162
590574	254165
590587	254174
590609	254193
590623	254202
590637	254204
590660	254205
590702	254211
590771	254222
590803	254217
590836	254214
590871	254209
590899	254210
590923	254214
590959	254223
590978	254227
591001	254228
591031	254223
591043	254219
591059	254206
591087	254199
591103	254197
591120	254199
591137	254203
591171	254213
591207	254224
591250	254236
591268	254236
591273	254235
591282	254228
591291	254218
591298	254215
591305	254215
591310	254214
591319	254216
591362	254240
591377	254248
591389	254256
591396	254263
591404	254272
591407	254278
591413	254285
591423	254293
591444	254303
591456	254307
591463	254308
591467	254308
591478	254306
591489	254305
591496	254306
591502	254308
591509	254315
591516	254323
591531	254341
591541	254350
591560	254359
591574	254363
591584	254363
591602	254365
591625	254380
591668	254458
591688	254470
591725	254473
591755	254488
591778	254505
591803	254548
591823	254558
591845	254558
591863	254540
591888	254525
591900	254508
591928	254505
591955	254510
591988	254500
592005	254483
592030	254470
592073	254478
592135	254475
592180	254463
592225	254459
592273	254460
592453	254491
592485	254483
592518	254458
592563	254403
592593	254338
592620	254288
592660	254225
592843	254106
592868	254085
592915	254093
592925	254073
592920	254048
592908	254030
592906	254000
592923	253963
592928	253938
592935	253925
592998	253935
593048	253910
593070	253893
593108	253855
593150	253848
593248	253853
593283	253848
593350	253825
593428	253790
