x	y	part
517438	168304	VS
517636	168096	VS
518051	168304	VS
518316	168011	VS
518722	167671	VS
519166	167898	VS
519563	168342	VS
520139	168805	VS
520649	169358	VS
520946	169534	VS
521186	169739	VS
521390	169879	VS
521640	170015	VS
521870	170085	VS
522125	170056	VS
522440	169971	VS
522756	169857	VS
522996	169752	VS
523281	169643	VS
523516	169573	VS
524157	169375	VS
524507	169255	VS
524718	169194	VS
525088	168937	VS
525418	168653	VS
525626	168417	VS
525805	168210	VS
526051	168049	VS
526660	168471	VS
526750	168502	VS
527211	168668	VS
527742	168455	VS
528186	168219	VS
528828	167917	VS
529394	167633	VS
529649	167492	VS
529867	167426	VS
530046	167360	VS
530254	167369	VS
530481	167397	VS
530726	167520	VS
531083	167752	VS
531227	167813	VS
531442	167958	VS
531646	168033	VS
531921	168059	VS
532207	168014	VS
532457	167945	VS
532702	167840	VS
532947	167806	VS
533127	167786	VS
533287	167806	VS
533452	167772	VS
533518	167592	VS
533513	167432	VS
533489	167237	VS
533449	167002	VS
533385	166762	VS
533310	166532	VS
533280	166377	VS
533241	166217	VS
533246	166122	VS
533346	165987	VS
533472	165862	VS
533642	165742	VS
533747	165658	VS
533993	165513	VS
534178	165398	VS
534318	165309	VS
534428	165219	VS
534589	165064	VS
534644	165004	VS
534764	164930	VS
534924	164790	VS
535095	164605	VS
535275	164426	VS
535421	164206	VS
535501	164026	VS
535522	163801	VS
535477	163641	VS
535443	163391	VS
535453	163151	VS
535504	162941	VS
535584	162837	VS
535684	162697	VS
535720	162502	VS
535775	162257	VS
535881	162067	VS
535946	161957	VS
536106	161763	VS
536287	161538	VS
536367	161383	VS
536443	161213	VS
536633	160939	VS
536734	160744	VS
536924	160545	VS
537095	160435	VS
537139	160410	VS
537339	160349	VS
537478	160364	VS
537562	160402	VS
537905	160361	VS
538120	160352	VS
538295	160322	VS
538450	160282	VS
538550	160222	VS
538726	160053	VS
538841	159913	VS
539031	159838	VS
539231	159774	VS
539291	159766	VS
539396	159608	VS
539427	159347	VS
539504	159101	VS
539527	158879	VS
539611	158702	VS
539918	158725	VS
540164	158472	VS
540463	158541	VS
540924	158626	VS
541093	158633	VS
541154	158587	VS
541208	158556	VS
541300	158441	VS
541365	158353	VS
541421	158123	VS
541481	157848	VS
541537	157668	VS
541672	157469	VS
541807	157389	VS
541907	157349	VS
542032	157364	VS
542167	157375	VS
542437	157400	VS
542657	157416	VS
542812	157476	VS
542917	157521	VS
543122	157636	VS
543342	157607	VS
543472	157582	VS
543652	157547	VS
543912	157473	VS
544007	157513	VS
544122	157548	VS
544297	157588	VS
544562	157589	VS
544652	157574	VS
544728	157364	VS
544708	157174	VS
544739	157004	VS
544789	156819	VS
544965	156600	VS
545155	156445	VS
545455	156351	VS
545560	156356	VS
545731	156378	VS
545915	156387	VS
546135	156342	VS
546230	156362	VS
546315	156342	VS
546421	156318	VS
546578	156310	VS
546859	156302	VS
547125	156341	VS
547352	156412	VS
547578	156560	VS
547743	156724	VS
547891	156881	VS
548134	157006	VS
548313	157154	VS
548517	157201	VS
548650	157217	VS
548790	157248	VS
548884	157248	VS
549002	157131	VS
549150	156982	VS
549240	156897	VS
549360	156833	VS
549462	156795	VS
549400	156703	VS
549371	156460	VS
549393	156158	VS
549481	155885	VS
549577	155591	VS
549481	155318	VS
549422	155068	VS
549577	154862	VS
549864	154648	VS
549931	154596	VS
549688	154243	VS
549481	153794	VS
549245	153444	VS
549333	153382	VS
549401	153341	VS
549501	153301	VS
549646	153316	VS
549855	153102	VS
549993	152963	VS
550109	152840	VS
550194	152780	VS
550289	152718	VS
550434	152666	VS
550382	152151	VS
550223	151545	VS
550136	151341	VS
550123	151175	VS
550018	150950	VS
549924	150745	VS
549829	150565	VS
549655	150350	VS
549535	150120	VS
549390	149909	VS
549456	149670	VS
549546	149505	VS
549742	149465	VS
550012	149441	VS
550207	149486	VS
550517	149536	VS
550846	149587	VS
551156	149648	VS
551376	149683	VS
551641	149728	VS
551836	149844	VS
552016	149909	VS
552191	149899	VS
552381	149820	VS
552466	149725	VS
552547	149640	VS
552617	149525	VS
552657	149475	VS
552827	149351	VS
552902	149306	VS
553063	149216	VS
553298	149217	VS
553503	149177	VS
553718	149147	VS
553858	149083	VS
554033	148968	VS
554219	148843	VS
554469	148669	VS
554709	148644	VS
554899	148655	VS
555069	148705	VS
555254	148850	VS
555414	149020	VS
555528	149171	VS
555683	149361	VS
555708	149416	VS
555763	149521	VS
555837	149791	VS
555877	149931	VS
556026	150156	VS
556101	150311	VS
556176	150441	VS
556260	150591	VS
556375	150762	VS
556445	150917	VS
556474	150992	VS
556489	151152	VS
556589	151322	VS
556683	151407	VS
556803	151532	VS
557078	151698	VS
557298	151813	VS
557457	151943	VS
557627	152089	VS
557797	152284	VS
558006	152559	VS
558176	152754	VS
558325	152980	VS
558480	153215	VS
558574	153435	VS
558684	153650	VS
558798	153915	VS
559023	153991	VS
559243	154016	VS
559508	154036	VS
559698	154052	VS
559783	154072	VS
559948	154072	VS
560083	154087	VS
560358	154108	VS
560558	154153	VS
560723	154204	VS
560828	154294	VS
560992	154434	VS
561127	154569	VS
561272	154664	VS
561432	154710	VS
561637	154740	VS
561757	154810	VS
561937	154885	VS
562052	154926	VS
562251	154991	VS
562436	155056	VS
562611	155112	VS
562731	155152	VS
562936	155247	VS
563081	155372	VS
563331	155263	VS
563511	155188	VS
563691	155114	VS
563797	155079	VS
564012	155084	VS
564252	155115	VS
564486	155220	VS
564761	155325	VS
564916	155411	VS
565081	155496	VS
565256	155441	VS
565376	155421	VS
565456	155232	VS
565512	154972	VS
565598	154722	VS
565698	154437	VS
565749	154247	VS
565889	154003	VS
565950	153858	VS
566040	153698	VS
565980	153523	VS
565971	153448	VS
566041	153258	VS
566111	153128	VS
566152	152874	VS
566182	152649	VS
566270	152363	VS
566343	152075	VS
566219	151914	VS
566260	151684	VS
566305	151459	VS
566371	151244	VS
566461	151035	VS
566541	150890	VS
566577	150790	VS
566422	150590	VS
566332	150529	VS
566182	150404	VS
565968	150279	VS
565843	150164	VS
565678	149978	VS
565679	149838	VS
565684	149638	VS
565680	149404	VS
565700	149164	VS
565621	148749	VS
565562	148524	VS
565412	148168	VS
565348	147838	VS
565288	147733	VS
565099	147458	VS
564944	147288	VS
564839	147173	VS
564800	147128	VS
564710	146982	VS
564615	146992	VS
564583	146771	VS
564588	146520	VS
564584	146320	VS
564613	146050	VS
564618	145805	VS
564618	145539	VS
564616	145204	VS
564521	144946	VS
564447	144767	VS
564394	144578	VS
564320	144419	VS
564267	144260	VS
564214	144111	VS
564241	143946	VS
564308	143829	VS
564388	143583	VS
564345	143404	VS
564327	143249	VS
564304	143119	VS
564301	142949	VS
564334	142853	VS
564426	142717	VS
564489	142600	VS
564556	142454	VS
564603	142318	VS
564627	142238	VS
564747	142271	VS
564883	142313	VS
564989	142346	VS
565099	142369	VS
565206	142207	VS
565392	141983	VS
565533	141781	VS
565729	141602	VS
565935	141398	VS
566067	141201	VS
566175	141114	VS
566248	141002	VS
566328	140934	VS
566200	140824	VS
566020	140649	VS
565935	140558	VS
565831	140398	VS
565746	140203	VS
565666	139988	VS
565592	139798	VS
565532	139538	VS
565448	139328	VS
565388	139193	VS
565224	138927	VS
565394	138818	VS
565614	138628	VS
565705	138568	VS
565925	138419	VS
566065	138309	VS
566125	138194	VS
566276	138074	VS
566421	137960	VS
566621	137810	VS
566767	137675	VS
566852	137525	VS
566948	137321	VS
566993	137211	VS
567053	137081	VS
567238	136951	VS
567349	136881	VS
567504	136772	VS
567634	136782	VS
567744	136802	VS
567859	136717	VS
568039	136648	VS
568029	136803	VS
568088	137003	VS
568173	137328	VS
568212	137558	VS
568267	137713	VS
568382	137798	VS
568547	137873	VS
568792	137974	VS
569196	138035	VS
569582	137975	VS
569787	137906	VS
569952	137811	VS
570298	137602	VS
570478	137542	VS
570613	137532	VS
570753	137623	VS
570872	137733	VS
571042	137888	VS
571197	138033	VS
571282	138158	VS
571411	138284	VS
571571	138419	VS
571846	138409	VS
572016	138375	VS
572307	138305	VS
572552	138241	VS
572912	138221	VS
573227	138247	VS
573303	138271	VS
573566	138286	VS
573952	138449	VS
574276	138980	VS
574410	139044	VS
574571	138994	VS
574846	138780	VS
575012	138585	VS
575142	138415	VS
575302	138236	VS
575458	138031	VS
575608	137846	VS
575654	137681	VS
575674	137512	VS
575644	137372	VS
575590	137266	VS
575490	137131	VS
575395	136976	VS
575315	136811	VS
575281	136596	VS
575301	136471	VS
575276	136356	VS
575426	136351	VS
575601	136342	VS
575792	136322	VS
575902	136317	VS
576032	136327	VS
576217	136299	VS
576435	136277	VS
576563	136388	VS
576706	136569	VS
576821	136584	VS
577061	136594	VS
577196	136584	VS
577306	136580	VS
577431	136615	VS
577591	136720	VS
577741	136795	VS
577926	136826	VS
578101	136821	VS
578316	136801	VS
578561	136767	VS
578851	136697	VS
578977	136673	VS
579153	136621	VS
579427	136653	VS
579557	136529	VS
579652	136484	VS
579852	136479	VS
580047	136470	VS
580188	136413	VS
580304	136315	VS
580370	136199	VS
580446	136110	VS
580690	136171	VS
580885	136216	VS
581072	136344	VS
581170	136413	VS
581242	136502	VS
581258	136397	VS
581338	136217	VS
581388	136107	VS
581459	135902	VS
581494	135767	VS
581549	135577	VS
581600	135433	VS
581735	135158	VS
581846	135053	VS
581906	134923	VS
581976	134838	VS
582006	134718	VS
582017	134563	VS
582037	134359	VS
582078	134119	VS
582078	133919	VS
582109	133739	VS
582129	133509	VS
582174	133369	VS
582255	133169	VS
582375	132979	VS
582506	132740	VS
582586	132615	VS
582802	132325	VS
582952	132165	VS
583073	131951	VS
583133	131761	VS
583178	131566	VS
583239	131216	VS
583249	131101	VS
583280	130921	VS
583500	130837	VS
583635	130782	VS
583865	130707	VS
584161	130663	VS
584406	130643	VS
584651	130674	VS
584901	130719	VS
585151	130780	VS
585440	130850	VS
585765	130881	VS
586176	130872	VS
586381	130847	VS
586691	130832	VS
586976	130833	VS
587261	130814	VS
587561	130834	VS
587886	130920	VS
588136	131040	VS
588486	131091	VS
588841	131126	VS
589141	131132	VS
589396	131147	VS
589686	131223	VS
