#######river number and name
#1 Orbe
#2 Talent
#3 Mentue
#4 Areuse
#5 
#6 
#7 Broye
#8 Suze
#9 La jogne
#10 Sarine
#11 Glane
#12 Aare
#13 Guerbe
#14 Simme
#15 Kander
#16 Aare
#17 Luetschine
#18 Schwarze Luetschine
#19 Aare
#20 Rhein
#21 Rhein
#22 Vorderrhein
#23 Sense
#24 Landquart
#25 Birs
#26 La Sorne
#27 Scheulte
#28 Ergolz
#29 Sissle
#30 Aare
#31 Langete
#32 Wigger
#33 Suhr
#34 Aa
#35 Grosse Emme
#36 Ilfis
#37 Kleine Emme
#38 Sitter
#39 Entlen
#40 Reuss
#41 Sarner Aa
#42 Aa
#43 Reuss
#44 Schaechen
#45 Muota
#46 Sihl
#47 Glatt
#48 Limmat
#49 Thur
#50 Murg
#51 Toess
#52 Linth
#53 Waegitaler Aa
#54 Linth
#55 Sernf
#56 Hinterrhein
#57 Landwasser
#58 Albula
#59 Ragn da Ferrera
#60 Vispa
#61 Drance
#62 La Borgne
#63 La Liene
#64 La Vieze
#65 Grande Eau
#66 Venoge
#67 Rhone
#68 Rhone
#69 Doubs
#70 Ticino
#71 Moesa
#72 Diveria
#73 Cassarate
#74 Maggia
#75 Mera
#76 Poschiavino
#77 Flaz
#78 Spoel
#79 En
#80 Breggia			
#81 Faloppia			
#82 Etsch			
#83 Etsch			
#############################			
river_nr	x	y	river
1	508562	163178	rhine
1	508978	163540	rhine
1	509024	163581	rhine
1	509128	163671	rhine
1	509196	163730	rhine
1	509645	164122	rhine
1	509757	164220	rhine
1	509852	164303	rhine
1	510767	165100	rhine
1	511318	165581	rhine
1	511454	165687	rhine
1	512790	166725	rhine
1	513481	167262	rhine
1	513486	167265	rhine
1	513789	167501	rhine
1	514000	167665	rhine
1	514296	167895	rhine
1	514298	167898	rhine
1	514950	168849	rhine
1	514875	168991	rhine
1	514746	169034	rhine
1	514734	169038	rhine
1	514722	169039	rhine
1	514703	169046	rhine
1	514683	169057	rhine
1	514671	169069	rhine
1	514646	169109	rhine
1	514641	169114	rhine
1	514638	169117	rhine
1	514629	169122	rhine
1	514613	169138	rhine
1	514600	169158	rhine
1	514598	169161	rhine
1	514588	169168	rhine
1	514577	169154	rhine
1	514567	169128	rhine
1	514554	169107	rhine
1	514531	169100	rhine
1	514455	169156	rhine
1	514455	169332	rhine
1	514651	169695	rhine
1	514794	169826	rhine
1	514799	169831	rhine
1	514984	170000	rhine
1	515000	170016	rhine
1	515105	170170	rhine
1	515206	170333	rhine
1	515241	170396	rhine
1	515329	170553	rhine
1	515555	170953	rhine
1	515791	171375	rhine
1	515969	171692	rhine
1	516000	171747	rhine
1	516173	172054	rhine
1	516395	172449	rhine
1	516391	172491	rhine
1	516389	172515	rhine
1	516394	172543	rhine
1	516397	172553	rhine
1	516405	172579	rhine
1	516404	172594	rhine
1	516401	172604	rhine
1	516396	172615	rhine
1	516391	172629	rhine
1	516391	172648	rhine
1	516407	172678	rhine
1	516436	172703	rhine
1	516470	172721	rhine
1	516481	172731	rhine
1	516496	172742	rhine
1	516537	172768	rhine
1	516558	172787	rhine
1	516579	172805	rhine
1	516589	172821	rhine
1	516602	172847	rhine
1	516611	172866	rhine
1	516659	172903	rhine
1	516716	172919	rhine
1	516761	172928	rhine
1	516778	172937	rhine
1	516798	172962	rhine
1	516813	172987	rhine
1	516824	173006	rhine
1	516831	173008	rhine
1	516845	173005	rhine
1	516876	172983	rhine
1	516882	172979	rhine
1	516901	172965	rhine
1	516921	172962	rhine
1	516946	172967	rhine
1	516983	172985	rhine
1	517004	172997	rhine
1	517025	173009	rhine
1	517078	173042	rhine
1	517099	173063	rhine
1	517108	173081	rhine
1	517109	173085	rhine
1	517112	173097	rhine
1	517117	173139	rhine
1	517121	173160	rhine
1	517139	173184	rhine
1	517155	173192	rhine
1	517175	173188	rhine
1	517199	173178	rhine
1	517208	173165	rhine
1	517215	173129	rhine
1	517220	173121	rhine
